                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.1255,                 1.6436,                0.79666,                0.89756,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067104,             0.00067104,             0.00067104
                    122,                 1.1707,                 1.6951,                 0.8815,                0.90777,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066738,             0.00066738,             0.00066738
                    123,                 1.1353,                 1.6912,                0.79942,                0.88909,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066371,             0.00066371,             0.00066371
                    124,                 1.1671,                 1.7293,                0.81128,                0.89776,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066005,             0.00066005,             0.00066005
                    125,                 1.1117,                 1.6008,                  0.797,                0.88285,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065638,             0.00065638,             0.00065638
                    126,                 1.1501,                 1.6801,                0.81688,                0.88694,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065271,             0.00065271,             0.00065271
                    127,                 1.2467,                 1.8248,                0.87073,                0.92657,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064905,             0.00064905,             0.00064905
                    128,                 1.1338,                 1.6668,                 0.7999,                0.87864,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064538,             0.00064538,             0.00064538
                    129,                 1.1474,                 1.5946,                0.81111,                0.87498,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064171,             0.00064171,             0.00064171
                    130,                 1.1599,                 1.7737,                0.83173,                0.88216,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063805,             0.00063805,             0.00063805
                    131,                 1.1934,                 1.6858,                0.84577,                0.91288,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063438,             0.00063438,             0.00063438
                    132,                 1.1474,                  1.637,                0.81014,                 0.8947,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063071,             0.00063071,             0.00063071
                    133,                 1.1819,                 1.6815,                 0.7933,                 0.8824,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062705,             0.00062705,             0.00062705
